samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
msm79h7y,0,1.4621853,0.11711349,0,0,0,0,0,0.61791617,0,0,3.0915542,0,0,0,0,0,1.9812578,1.2007481,0,0,0.5164338,0,0,0.17176387,0.27675888,0.31759268,0,0,0,0,0,1.0585288,0,0,0.16088074,0,0,0,1.0334592,1.4388024,1.1162727,0,1.0679797,1.5252898,0,0,0,0,0,0,0,1.1007446,0.6714239,0,2.3346536,0,0,0.17014495,0.7294901,0.6186128,0.38978496,0.75891227,0.18843858,0.12236659,0,0,0,2.2222693,0.88805807,0.3677193,0.12355845,0.3434435,0,1.2766817,0,0,0,0.61645424,0,0.10153902,0,0,0,1.113566,0,0,1.5319945,0,0.77681994,0,0,0,0.5179499,0,0,0,0,0.57385206,0,0.9745675,0,0,0,0,0,0,1.844787,0,0.3929566
csm7komt,0.18284982,0,0,0.38591766,2.481984,0,0,1.4446214,0.82699144,0,0,1.7080814,0,1.2542866,0,0,0,1.0295079,0.26804602,0,0,0,0,0,0,0.3256607,0.5599602,0.79238683,0.33040774,0.17374977,0,0.52993315,0,0,0,0,0.14862745,0,0,0.63245726,0,0,0,1.409929,1.027233,0.30582345,0,0,0,0,0,0.7514208,0,0.06908106,0,0,0,0,0,0,0,1.887961,0,0,0.83593094,0,0,0,1.6652985,1.503948,0.10317579,0.9486578,0,0,0.40826082,0,0.2122287,0.1493482,0,0,0,0,0,0,1.9211689,0.33857065,0,0,0,0,1.9579341,0.5567114,0.5101075,0,0,0.761191,1.1242231,0,1.6688027,0,0,0,0.7328839,0.04108873,0,0,0,0,0,1.0550967
hsm67vhu,0,0.13444315,0.419187,0.1620832,0.5011361,0,0.6503601,0.659525,0.27951497,0,0.11663506,0.053009562,0,0,0.93959033,0,0,0,0.41354272,0.5908844,0,0.14435038,0.7333155,0.25305676,0,0.58119166,0.17409626,0,0.77828366,0,0.087036125,0,0,0,0,0,0,0,0.17580439,0.5384087,0.65625644,0.32582164,0.2071327,0.17055324,0,0.05876155,0,0,0,0.65343565,0,0.1952249,0,0.8818876,0,0,0,0.31538126,0,0.5819724,0.12828822,0.32096818,0,0.19771591,0.14872123,0,0.19658642,0,0,0.524112,0.51257247,0.12942654,0,0,0.03247174,0,0,0.007192418,0,0.738167,0,0,0,0,0.31592247,0.001390442,0,0.37633607,0.007950587,0.70339215,0,0.19046672,0,0,0,0.7464911,0.3436119,0,0.65346384,0.5354896,0.1926014,0,0.6480031,0,0,0,0,0.13542455,0,0.45210645
csm5mcwg,0,0,0,0.3275825,0.45030025,0.12773336,0.03772485,0.48797563,0.1029024,0.7075459,0.25019276,0,0.15384276,0,0,0,0.104114175,0,0.010927524,0,0.0802134,0,0.012322217,0,1.1179438,0,0.2956656,0.44383815,0,0,0.67148733,0,0,0,0.3729326,0.63997746,0,1.3321949,0.4067777,0,0,0,0,0.16138896,0.16356228,0.633501,0,0,0.12695771,0.18093655,0.21016732,0,0,0,0.045304112,0.114311144,0.043272037,0,0,0,0,0,0,0,0.40010262,0.72054315,0,0,0.07373052,0,0,1.4179635,0.86076385,0.93237436,0,0,0.17038816,0.17531794,0.47764304,0,0.08296647,0.23755093,0,0.07589769,0,0,1.3377563,0.43151924,0.27131268,0,0.22259235,0,0.6533376,0.53206563,0.76724833,0.28129575,0.25059432,0,0.06809337,0.4579232,0,0.3944227,0.38303736,1.2982492,1.1570952,1.4216613,0,0,0.3451215,0
psm7j1bl,0,0,0,0.3263582,0.25650033,0.12613158,0,0.6309391,0.52090895,1.355955,0.2973538,0,0.2710984,0,0,0,0.2527962,0,0.11527461,0,0.3229741,0,0.11357826,0,1.9030558,0,0.39433518,0.43822202,0,0,0.7715666,0,0,0,0.5318951,0.983011,0,2.0705068,0.70076627,0,0.18699884,0,0,0.015906164,0.13883916,1.1449773,0,0,0.4277972,0.0723227,0.30643952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6175884,1.2362585,0,0,0.22995058,0,0,1.8274671,1.046838,1.0781312,0,0.002907727,0.00210714,0.48089468,0.62709206,0,0,0.005402145,0,0,0,0,1.959797,0.4812535,0.35477027,0,0.099083014,0,0.7814357,0.99917257,1.1315173,0.53416723,0.3882298,0,0,0.71242034,0,0.5779864,0.3871418,1.5203688,1.3003001,1.3849642,0,0,0.6553923,0
msm5llig,0,0.14883009,1.492654,0,0.24378748,0.6186316,0,0,0,0,1.4489706,1.5967652,0,0,0.659733,0,0,0.4102953,0.78516644,0,1.265352,0,0.8643954,0.4915572,0.101803005,0,2.3859673,0.9760603,0,0.119803265,0.72173756,0.43445432,0.2114357,0,0.41710892,0.31085005,0.9914485,0,1.9001464,0.3318189,0.18609697,0.988874,0,0,0,0,0,0.06249325,0,1.0980256,0,0,0.73750865,0.017143076,0.05947289,1.0862318,0,0,0,3.090127,0,0,0.14585552,0.019927632,0,0,0,0.5624469,0.34080124,0,0,0,0,0,1.2514925,0,0,0,0.39090866,0,0.16186881,1.9621656,0,1.8719822,0.35828614,0,0,0.95200926,0.26248777,0.3664136,0,0,0,1.067462,0,0.06833099,0,0.6775934,0,0,0,0,1.1099982,0.37024468,0,0.2852809,0.42670387,0.17601083,0,0.73431206
hsma33lp,0,0.65390533,0.016483821,0,0.002233259,0.09047209,0.7728984,0.09332765,0.28655702,0,0.36047256,0.15669757,0,0,0.9470317,0,0.11130096,0,0,0,0,0,0,0.11700513,0.44570112,0,0,0,0.9840395,0.001120791,0.23393339,0,0,0,0.34566835,0.2017072,0.19499443,0,0,0,0.24237254,0.008184746,0,0.39871582,0,0.21436931,0,0,0,0.040010486,0,0,0.2917145,0.24781302,0,0.4524538,0,0.18506144,0,0.8443325,0.16212016,0.122044094,0,0,0,0,0,0.3722652,0.61773604,0.50536686,0,0.6552675,0.58142775,0,1.096583,0,0,0,0.14179112,0.121333465,0.5466417,0.5176668,0.91994107,0.20942092,0,0.7812054,0.1580221,0.38563517,0.6205233,0,0,0,0,0.4708482,0.056764696,0,0,0,0,0,0.165051,0,0.8461754,0.046447128,0,0.08862895,0.042486086,0,0.13958707,0
psm6xbrk,0.3373009,0.16831593,0.58086616,0.10719144,0.45225447,0,0,0,0.1976807,0,0,1.5147226,0,0,0.14323284,0.08989492,0.2619602,0.9875368,0,0,0.26769903,0.35394615,0.78568226,0,0,0.011714513,0.2522786,0,0.549424,0.3817787,0.93622404,0,0,0,0,0.001017481,0.17444131,0,0.14191139,0.37622315,0.40782914,0,0.06736849,0,0.17648046,0.20052758,0,0,0,0.6583497,0,0,1.0521879,1.1396806,0,0.66577053,0,0,0,0.6390131,0.51660573,0,0,0.023045134,0,0.16424392,0,0,0.35935655,0,1.2881864,0.6819836,0.31766394,0.21737039,0,0,0.24276307,0,0.98250574,0.69759345,0,0,0,0,0.19529793,0,0,0.5486379,0,0.77938926,0.007706441,0.40635213,0.7953091,0,0,0,0,0,0.8943482,0.3749195,0.16833569,0,0.34701762,0.07978302,0,0.35647085,0,0.61946887,0,0
csm79hny,0,0.20499583,0.14838266,0,0.32414228,0.058188543,0,0.16571197,0.45754138,0,0,0.21138474,0,0,0.25336033,0,0,0.03682621,0.2402617,0,0,0.0965949,0.22742626,0.2589136,0,0.1365882,0.25634775,0,0,0.20394123,0.099653505,0,0.05351965,0.06752769,0.28579152,0.7839016,0,0,0.092424564,0.027409898,0,0.27129096,0,0.50333536,0.29805526,0.103058755,0,0,0.13826147,0,0,0.22673254,0.19528395,0.4558775,0.056335635,0.40028074,0,0.24930122,0,0.097844474,0,0.38379666,0.25003794,0,0,0,0,0.47928277,0.426706,0,0.21278428,0.11116588,0.008859508,0,0.43185455,0.06742484,0,0.09066671,0.008138336,0,0.0872358,0,0,0.06876231,0.035001997,0.5954919,0,0.15883425,0.11960521,0.026759248,0.19001736,0,0,0.50909543,0,0.17212866,0,0,0,0,0,0,0.10506345,0.45375898,0,0.00565083,0.004571989,0.007215836,0.27647904,0.27057043
csm7komz,0,0.28488278,0.4560981,0,0.003806338,0.18814974,0,0,0.2230157,0,0,0.1096013,0.08681416,0,0.43906188,0,0.000790793,0,0.12385903,0,0,0.18115354,0,0.01436156,0,0.03564316,0.42793494,0,0,0.56384826,0.059772793,0,0.27288747,0,0.5518385,0.56735337,0.22324154,0,0.18400618,0.2797764,0.082674816,0.66813904,0.20522982,0.54306567,0,0.29793236,0,0,0,0,0,0,0.22901529,0.6793683,0.22852726,0.5880104,0,0.09440603,0,0.3467177,0.24079159,0.34062767,0.014912903,0,0.13368708,0,0,0.18977553,0.51662236,0,0.4032144,0.13132696,0.89257854,0,0.33251497,0.26406765,0.051739737,0,0.027365051,0,0.20814556,0.5117319,0.675024,0.33174765,0.3464912,0.63554025,0,0.26094022,0,0.017585412,0.07467812,0,0,0.65720826,0.100344576,0.09708432,0.008069456,0,0,0,0,0,0.30167124,0.45521665,0,0.23670515,0.29891238,0,0.31576878,0
