samples,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109
zis22oe-02,0,0,0,0,1.2281693,0.21126063,4.192779,0,0,0,0,0,0.99821794,0,5.547845,0,0,2.0367336,0,0,4.2414436,5.002315,5.9786606,0.635503,0,2.781551,0,0,0,0,0,0,2.295761,0,1.3443804,0,0,0,2.2658136,0,0,1.105187,5.637374,2.1774936,0,0,0.99066705,4.058546,1.8668019,0,0,0,0,2.305475,0,0.43939564,0,0,4.0841985,0,1.078346,0,1.0552341,0,0,0,1.2686204,0,0,0,0,0,0,6.9397826,2.4881232,6.2961936,0,0,5.3490667,0,0,3.14775,0,3.6473022,3.341544,0,1.1004277,0,0,3.3448186,0,0,0,0,4.445239,6.0052824,0,6.6954255,0.21808317,2.6107297,0,0,0,0,0,6.0884576,0,0,0,4.7234488
zjoszhk-01,0,0,0,0,1.4559087,0,0,0.096331894,1.3691885,2.3095555,0,0,4.2722416,0,1.321376,0,0,1.8318383,1.3146957,0,0.2344241,2.34691,0,2.5175757,0,0.2706984,0,0,1.2707323,0,0,0,0,0,3.9010699,0.6232367,0,0,0,0,0.023081586,1.3532451,5.8921204,0.1963915,6.4031014,0,1.4097531,0,0.83392024,0,0,0,0,3.1952138,0,0,0,0,2.5985942,0,5.847435,0,0.06717069,0.49229097,1.7340786,1.4891666,0,0,0,0,0,0.45351237,0,2.326992,0,2.3195004,2.6995192,4.2653775,0,0,0,3.2982202,0,3.3237495,1.7342018,1.9246094,2.0038123,0.51088536,0.17702913,1.1991062,0,1.682493,3.5979536,0,0.73584235,1.7822549,0,1.39254,0,0,0,2.48392,1.7160118,0,0,0,0,3.3584764,0,0
zjoszhk-02,1.1046699,0,0,0,0.15192395,1.3230014,0,0,2.925655,0.8661977,2.1030972,0,1.5911937,0,0.61310786,0,0,1.1553433,0.4238637,0.91752666,0,1.6772863,2.0878572,2.566202,0,1.4187812,0,0,2.0068312,0,3.8106234,0.6589658,0,2.2655878,2.869768,3.0983388,0,0,0.7059075,0,0.7420483,3.1324189,3.8639202,2.2239072,2.7423506,0,1.2720546,0,2.3574429,0,0,0,0,0,0,0,0,0,0.51940805,1.8676435,1.3913993,0,0,0.3348015,3.1774254,2.2361147,0.13391943,0,0,0,0.7847237,1.4925299,0,0.1421621,0,1.7212,3.670186,0,0,0,0,1.7054675,0,2.295109,0.2547037,0,0.5017072,1.0632962,1.0219294,0.84508204,0.5256844,2.0992987,0,1.8599054,2.5444708,0,0,0,0.67096657,0,0,1.6603246,0.4782045,2.0429847,0,0,0.7987708,0.6424168,0,0.52828556
zjtkae3-01,0,0,0,0,0,0,0,0,0,0.51535064,4.77015,0,0,0,5.2692695,0,0,6.7487836,3.3666322,0,0,6.3825707,2.773953,0,0,9.449,0,0,0,0,0,4.6033573,13.119684,0,5.7956247,0,3.2945795,0,5.240585,0,0,5.032231,11.058391,1.7317547,0,0,0,5.5653133,0,0,0,0,0,6.9113226,0,8.088227,0,0,0,6.2739596,0,0,0,0,3.3324032,0.0237651,9.358321,0.038465593,0,0,0,5.916123,0,21.777668,1.3605456,1.8995136,0,0,0,0,0,4.4601307,0,2.1538393,0,0,4.9064927,5.3149805,0,0,0,0,0,9.567902,0,4.184639,0,0,0,0.73875874,0,2.9588578,0,0,0,14.736009,0,0,0,5.844215
zjtkae3-02,0,0,0,13.51149,4.048555,0,0,0,0,7.4684143,8.172484,0,0,11.0184,0,0,0,2.0108824,3.8047717,3.2046757,0,12.251284,0,0,11.290165,1.9717063,0,0,0,0,0,1.4196602,4.307268,0,5.0038123,8.046329,2.3232458,4.4892864,0,0,0,0,0,0,0,0,0,9.446411,5.1415114,0,6.4286423,0,0,1.7190746,4.4513893,9.0659485,0,0,3.2019274,8.737433,0,0,0,0,0,0,2.6948793,17.21314,0,0,0,4.0035605,0,7.8317003,0,4.9448075,0,0,0,3.3795664,0,0,0,0,0,0,11.003332,2.4177468,0,0,0,0,0,6.7151194,6.705734,6.3565745,8.759492,0,0.23412979,0,3.1802232,2.9107375,3.1595976,0,0,11.527553,0,0,0,0
zjtkae3-03,2.7266676,0,0,0,2.6430094,12.826389,0.5099103,0,0,3.9137502,4.468438,0,3.1542525,4.3948035,7.33655,0,0,1.330048,0,1.3716934,0,4.668309,1.5111511,5.2195015,0,0,0,0,0,0,6.6371384,0,0,2.6962655,2.9272115,6.7101607,6.1273084,0,2.6676886,0,5.9657354,4.6685095,7.4488983,1.4549891,5.091352,0,2.5137296,1.333183,3.1124816,0,0,0,0,0,1.648653,0,0,0,11.058918,0,2.26288,0,0,2.3141086,1.35773,2.188283,0,0,0,1.3530315,0,0.55643994,0,1.5919814,0,4.870672,6.1112065,0,2.5594828,0,0,4.099666,0,6.231463,0.121932305,0,1.8032721,0.65356714,0,1.1774459,1.8070078,2.4626005,0,5.0153093,8.585366,4.3718114,0,0,5.0909233,0,0,3.9188712,0,3.4904265,0,7.000678,0,0,0,0.87310326
zjtkae3-04,0,0,0,0,0,0,0,0,0,7.75157,9.239091,0,0,13.113497,3.5413659,0,0,4.426379,3.4746552,0,0,0,0,4.8243423,9.771795,0,0,0,0,0,0,0,21.542599,0,0,3.20969,16.183056,12.7351675,8.556987,0.90034246,3.3291836,5.678268,0,0,0,0,0,9.931296,5.4460597,0,0,0,0,0,3.7723567,7.500508,0,0,1.2521563,0,0,0,0,0,0,0,9.537777,1.0772231,0,0,0,13.86761,0,12.197566,0,1.5138991,0,0,6.74204,1.4426553,0,2.9090133,0,0,0,0,7.15332,0,0,4.8781714,0,0,0,19.195122,13.999537,11.417049,0,0,0,6.548213,0,6.585277,0,0,0,15.704677,5.8968806,0,0,7.5995836
zjtkae3-06,0,0,0,0,1.0830733,5.620644,0,0,0,3.9666104,8.987934,0,0,7.4521523,0,0,0,2.4207218,3.1841226,0,0,6.3417425,0,0.10857182,4.188945,0,0,0,0,0,3.4460738,0,2.421819,8.417016,2.80227,2.0119562,6.10969,0,2.3656626,0,1.9224355,2.766086,1.824677,0,0,0,0,2.77467,1.5877447,0,0,0,0,0,2.4835835,0,0,0,2.4894683,6.626393,0,0,0,0,0.42791775,0.3377601,0,6.3789163,0,0,0,3.449968,0,7.150918,0,7.4396067,0,0,0,0,0,2.8026097,0,2.5700254,0,0,4.072402,0.7429645,0,0.44309133,0,0,0,9.598398,4.5592046,3.5281954,0,0,2.9517558,0,0,3.735884,2.6045618,0,0,11.996296,0.37295938,0,0,2.3238668
zjtkae3-07,0,0,2.0084548,0,2.6569142,4.5085883,0,0,0.82776827,3.4752908,9.967053,0,0,6.774856,0,0,0,0.09091687,1.6856863,2.9937222,0,7.032352,0,0,0,0,0,0,0.6123266,0,4.2584453,1.5871451,2.4429011,6.453646,4.470542,0,5.704075,0,2.123436,0,1.1963575,4.027679,1.6801996,0,0.108690865,0,0,2.4903553,0.13584329,0,0,0,0,2.2402964,0,0,0,0,2.5297384,7.8077445,0,0,0,1.013096,2.3290856,0,2.6030862,4.6223564,0,0,0,1.5189393,0,5.6060243,0,10.0689125,0,0,0,0,0,0,0,4.8570185,0,0,3.2087727,0.3084851,0.36502397,0,0,0,0,7.1870866,3.4200082,0.5422965,0,0,5.986365,0.5043602,0,3.7269094,2.1324205,0,0,11.114523,0.2164839,0,1.9450083,3.558267
zjtkae3-10,0.09096561,0,3.1243074,0,2.5747435,7.456349,0,0,0,3.277463,9.150111,0,0,6.8598747,0,0,0,0,3.4568584,1.2963772,0.4159739,7.476531,0,0,0,0,0,0,0,0,2.6073518,0.22371012,1.1712445,5.8445454,4.2229476,1.0252202,6.6633267,0,0.9221393,0,0,3.6396978,3.5431085,0,0,0,0,3.5536542,0.029442154,0,0,0,0,0.18155217,0.40799567,0,0,0,3.2157953,7.5360003,0,0,0,0.4753102,0.886934,0,0,4.7429643,0,0,0,1.7070175,0,5.6095076,0,8.069359,0,0,0,0,0,1.877426,0,3.239143,0,0,6.012856,0,0,0,0,0,0,8.858026,2.6754472,2.8893242,0,0,6.0430903,0,0,2.941665,0.16161117,0,0,10.787569,0,0,0.88568276,2.1326053
